Kanjidic2 Heisig CSV header  3007 Heisig rows and max 12 meanings from first 12,155 entries (max 14 meanings)
String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String
柑,,67D1,2482,citrus,orange,,,,,,,,,, 
棺,1107,68FA,1272,coffin,casket,,,,,,,,,, 
款,1108,6B3E,1097,goodwill,article,section,friendship,collusion,,,,,,, 
歓,639,6B53,570,delight,joy,,,,,,,,,, 
汗,1094,6C57,1651,sweat,perspire,,,,,,,,,, 
漢,442,6F22,1578,Sino-,China,,,,,,,,,, 
潅,,6F45,2314,pour into,irrigate,shed (tears,flow into,concentrate on,,,,,,, 
環,1115,74B0,836,ring,circle,link,wheel,,,,,,,, 
甘,1093,7518,1757,sweet,coax,pamper,be content,sugary,,,,,,, 
監,1111,76E3,1453,oversee,official,govt office,rule,administer,,,,,,, 
看,827,770B,638,watch over,see,,,,,,,,,, 
竿,,7AFF,2632,pole,rod,scale beam,violin neck,,,,,,,, 
管,443,7BA1,1273,pipe,tube,wind instrument,drunken talk,control,jurisdiction,,,,,, 
簡,829,7C21,1621,simplicity,brevity,,,,,,,,,, 
緩,1112,7DE9,1952,slacken,loosen,relax,lessen,be moderate,ease,,,,,, 
缶,1095,7F36,1965,tin can,container,jar radical (no. 121),,,,,,,,, 
翰,,7FF0,2780,letter,writing brush,,,,,,,,,, 
肝,1096,809D,1649,liver,pluck,nerve,chutzpah,,,,,,,, 
